Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,30.719999,31.400000,30.530001,31.070000,31.070000,376000
2021-10-26,31.379999,32.130001,30.969999,31.790001,31.790001,905200
2021-10-27,31.709999,31.830000,30.889999,31.620001,31.620001,580400
2021-10-28,31.809999,32.639999,31.809999,32.509998,32.509998,311600
2021-10-29,32.419998,32.560001,31.940001,32.310001,32.310001,358700
2021-11-01,32.520000,32.963001,32.360001,32.770000,32.770000,780400
2021-11-02,32.860001,33.139999,32.110001,32.910000,32.910000,496400
2021-11-03,32.810001,33.380001,32.703999,33.180000,33.180000,873300
2021-11-04,30.000000,32.099998,29.570000,30.209999,30.209999,1964100
2021-11-05,30.580000,32.200001,30.490000,31.330000,31.330000,744600
2021-11-08,31.719999,32.040001,30.844999,30.959999,30.959999,450900
2021-11-09,31.059999,31.486000,30.889999,31.020000,31.020000,360000
2021-11-10,30.879999,31.090000,30.549999,30.780001,30.780001,295700
2021-11-11,30.855000,31.260000,30.559999,31.240000,31.240000,265400
2021-11-12,31.180000,31.665001,31.110001,31.360001,31.360001,222100
2021-11-15,31.690001,31.690001,31.145000,31.629999,31.629999,371800
2021-11-16,31.690001,32.419998,31.690001,32.369999,32.369999,292100
2021-11-17,32.380001,33.070000,32.272999,32.700001,32.700001,469700
2021-11-18,32.660000,32.660000,31.870001,32.419998,32.419998,221700
2021-11-19,32.259998,32.849998,32.259998,32.439999,32.439999,223600
2021-11-22,32.770000,33.099998,32.020000,32.040001,32.040001,328000
2021-11-23,31.750000,32.090000,31.230000,32.009998,32.009998,386100
2021-11-24,31.540001,31.830000,31.170000,31.780001,31.780001,249000
2021-11-26,30.940001,31.240000,30.410000,31.070000,31.070000,342300
2021-11-29,31.410000,31.420000,30.330000,30.920000,30.920000,396200
2021-11-30,30.680000,30.740000,29.770000,30.120001,30.120001,357900
2021-12-01,30.750000,30.750000,29.590000,29.590000,29.590000,690300
2021-12-02,29.870001,30.969999,29.299999,30.850000,30.850000,359400
2021-12-03,31.170000,31.270000,29.730000,30.150000,30.150000,654100
2021-12-06,30.355000,30.809999,29.980000,30.389999,30.389999,400100
2021-12-07,30.870001,31.615000,30.549999,31.049999,31.049999,575100
2021-12-08,31.020000,31.910000,31.000000,31.770000,31.770000,333500
2021-12-09,31.420000,31.920000,31.250000,31.280001,31.280001,298600
2021-12-10,31.320000,31.770000,30.969999,31.400000,31.400000,402000
2021-12-13,31.219999,31.540001,30.090000,30.120001,30.120001,574300
2021-12-14,29.879999,30.820000,29.870001,30.780001,30.780001,383700
2021-12-15,30.639999,31.360001,30.379999,31.240000,31.240000,351600
2021-12-16,31.440001,31.500000,30.230000,30.440001,30.440001,468900
2021-12-17,30.120001,30.690001,29.830000,30.290001,30.290001,1380600
2021-12-20,29.870001,30.370001,29.250000,30.080000,30.080000,642100
2021-12-21,30.180000,30.934999,30.129999,30.760000,30.760000,446600
2021-12-22,30.719999,31.245001,30.580000,31.190001,31.190001,292500
2021-12-23,31.330000,31.750000,31.070000,31.620001,31.620001,167000
2021-12-27,31.490000,32.220001,31.459999,32.139999,32.139999,279700
2021-12-28,31.879999,32.220001,31.740000,32.040001,32.040001,302800
2021-12-29,32.029999,32.509998,31.969999,32.380001,32.380001,217200
